regime,pred_col,series_name,mean_weekly,ann_mean,weekly_vol,ann_vol,sharpe,hit_rate,max_drawdown,n_weeks
calm,pred_fe_b1,top_return,-0.0011964762588956613,-0.06221676546257439,0.014850373598280358,0.10708756693679299,-0.5809896259880197,0.4927536231884058,-0.32794665135499795,207
calm,pred_fe_b1,bottom_return,-0.0024816537901985736,-0.12904599709032583,0.016731952151921622,0.12065582284472688,-1.0695380798686884,0.4492753623188406,-0.41236408261056007,207
calm,pred_fe_b1,exclude_bottom_return,-0.0014019550278581176,-0.07290166144862212,0.012823745304663634,0.09247334247891062,-0.7883532647827453,0.5120772946859904,-0.3092127254583246,207
calm,pred_fe_b1,equal_weight_return,-0.0016171246639536828,-0.08409048252559151,0.012874318915209532,0.09283803397092778,-0.9057762096935876,0.4927536231884058,-0.3279584675930492,207
calm,pred_fe_b1,long_short_return,0.0012851775313029111,0.06682923162775138,0.014865766731791774,0.10719856840112393,0.6234153368325271,0.5314009661835749,-0.12126930624472476,207
calm,pred_fe_b1,top_minus_equal_weight,0.00042064840505802117,0.0218737170630171,0.007880445717537416,0.05682670221618352,0.38491969813422927,0.5314009661835749,-0.0949467856876404,207
calm,pred_fe_b1,exclude_bottom_minus_equal_weight,0.00021516963609556497,0.011188821076969379,0.002301347795775608,0.01659525496068997,0.6742180884519648,0.5169082125603864,-0.018284735399820406,207
other,pred_fe_b1,top_return,0.0005134265066624357,0.02669817834644666,0.01666338746387508,0.12016139584785088,0.2221859870889987,0.5049019607843137,-0.30151449729871677,204
other,pred_fe_b1,bottom_return,-0.0016344728129699504,-0.08499258627443741,0.01825082246693379,0.13160855244783992,-0.6457983519583372,0.4852941176470588,-0.4354430033689669,204
other,pred_fe_b1,exclude_bottom_return,0.0002868196576920683,0.014914622199987551,0.01391579462711326,0.10034822213376628,0.14862866409437772,0.5196078431372549,-0.2913859738281514,204
other,pred_fe_b1,equal_weight_return,-9.40602796791604e-05,-0.004891134543316341,0.014094802945781144,0.1016390694771496,-0.04812258286579415,0.49019607843137253,-0.3200537103772384,204
other,pred_fe_b1,long_short_return,0.0021478993196323852,0.11169076462088404,0.016905149745177445,0.12190476845126853,0.9162132543283771,0.6029411764705882,-0.1710132845080123,204
other,pred_fe_b1,top_minus_equal_weight,0.0006074867863415959,0.03158931288976299,0.00926931451676075,0.06684197755716718,0.4725969225363799,0.5441176470588235,-0.1280819547070927,204
other,pred_fe_b1,exclude_bottom_minus_equal_weight,0.0003808799373712283,0.01980575674330387,0.002365011202022194,0.017054338311875486,1.161332464567827,0.6274509803921569,-0.018592859762137478,204
stress,pred_fe_b1,top_return,0.002860809252076755,0.14876208110799127,0.016094437118381287,0.11605863656010924,1.2817838078852857,0.6116504854368932,-0.11944487239009773,103
stress,pred_fe_b1,bottom_return,-0.0028142942384815554,-0.14634330040104088,0.03249557264741494,0.23432890681163931,-0.6245209026587405,0.5436893203883495,-0.4553005170323312,103
stress,pred_fe_b1,exclude_bottom_return,0.0007367117452818873,0.03830901075465814,0.014841057941442339,0.10702039078000478,0.35795992217415473,0.5922330097087378,-0.18567244338973268,103
stress,pred_fe_b1,equal_weight_return,3.557620273849673e-05,0.0018499625424018302,0.01754481071558323,0.12651742930669074,0.014622195159509112,0.5728155339805825,-0.24800697832616764,103
stress,pred_fe_b1,long_short_return,0.005675103490558313,0.29510538150903226,0.03175306018242844,0.22897457328127935,1.2888128899208202,0.5145631067961165,-0.17899559503329582,103
stress,pred_fe_b1,top_minus_equal_weight,0.0028252330493382604,0.14691211856558953,0.015270310103465004,0.11011577214055777,1.3341605449404914,0.5145631067961165,-0.07959655756264515,103
stress,pred_fe_b1,exclude_bottom_minus_equal_weight,0.0007011355425433905,0.036459048212256304,0.004379677085077065,0.03158230060044004,1.1544139444910584,0.5631067961165048,-0.027873223462726998,103
calm,pred_fe_b2,top_return,-0.0014540212347798097,-0.0756091042085501,0.014542516939627869,0.10486758100026386,-0.7209959788083589,0.5217391304347826,-0.34955291708509234,207
calm,pred_fe_b2,bottom_return,-0.0029586270581445384,-0.153848607023516,0.016716005478814445,0.12054082974960491,-1.2763194624020766,0.43478260869565216,-0.47084630840940994,207
calm,pred_fe_b2,exclude_bottom_return,-0.0012841349260431089,-0.06677501615424167,0.01276557807628707,0.09205389262998397,-0.7253904668936463,0.5169082125603864,-0.30613782758291413,207
