feature,mean_signed_shap,mean_abs_shap
ret_1d_lag,1.0261959789152852e-06,0.0009149791014803893
momentum_1m,7.965160149350288e-06,0.0008973360576917729
f_sell_5d,1.4179459227805525e-05,0.0005501966235461077
ret_5d_lag,-2.30883837311566e-05,0.0004658792297305183
amihud_5d,2.085409993538356e-06,0.0003436825104173075
log_size,-6.335299668271533e-06,0.00029253546332093773
f_buy_5d,-3.198994780656814e-05,0.00021289897840703632
turnover_5d,3.474827702419014e-06,0.0001555649958421167
volatility_1m,-2.448999407903487e-06,0.00014201974306296967
