model,feature,q1_low_mean_signed_shap,q5_high_mean_signed_shap,q5_minus_q1,high_value_direction
RF,f_sell_5d,0.0009203237570582764,-0.00017692066876605277,-0.0010972444258243292,high values push predictions downward
RF,f_buy_5d,7.551333300279768e-05,-6.43557214692654e-05,-0.00013986905447206308,high values push predictions downward
XGB,f_sell_5d,0.0012757248298411368,-0.00023144224450190434,-0.001507167074343041,high values push predictions downward
XGB,f_buy_5d,0.0001697084351312148,-0.00032633948126729715,-0.000496047916398512,high values push predictions downward
