model,oos_r2_b1,oos_r2_b2,delta,dm_stat,p_dm
FE,-0.006784812804240259,-0.006931975908453847,-0.00014716310421358791,-0.8491585095685371,0.395793096789967
RF,4.7442940909192544e-07,2.474558684673056e-05,2.4271157437638635e-05,0.2315331165312417,0.8169006610034346
XGB,-3.484748192117415e-05,8.228620088102101e-05,0.00011713368280219516,0.28582120414579903,0.7750150667596959
