model,oos_r2_b2,oos_r2_b3,delta,dm_stat,p_dm
FE,-0.006931975908453847,-0.007069274735195918,-0.0001372988267420716,-1.1694685804127827,0.24221489296555276
RF,2.474558684673056e-05,-0.0001390743061333577,-0.00016381989298008826,-0.9183819563455273,0.35841893379467504
XGB,8.228620088102101e-05,-0.00042637931019484654,-0.0005086655110758675,-1.1158109183618083,0.2645030792103489
