Block,Variable,Mean,Std,P10,P50,P90,% Non-zero,N
Target,5-day mkt-adj return (%),-0.02979381228634381,4.934102823826218,-5.373012601793952,-0.30439888618353,5.805739554496095,,111858
Block 1,1-day lagged return (%),0.06037745729076806,2.2998681053031342,-2.365074373880241,0.0,2.769662446792607,,111858
Block 1,5-day lagged return (%),0.24044448101349938,5.306509146078731,-5.316207752551978,7.003946034256359e-15,6.293196719777278,,111858
Block 1,1-month momentum (%),0.5795258652595486,9.967737743433293,-9.991151517567568,0.25565485494715,12.007923643480227,,111858
Block 1,1-month realized volatility (%),2.219359424682988,1.0640568944656776,0.993780055276878,2.050454992913325,3.7067818582347902,,111858
Block 1,Log market capitalization,15.194915738043367,1.5643104096039928,13.416988317213406,14.93444069878824,17.590148836097157,,111858
Block 2,5-day avg turnover,0.007195938648389724,0.011601345286397544,0.00015010839112476003,0.00270364117051395,0.01973108586381266,,111858
Block 2,Amihud illiquidity (×10⁶),0.23585551651308764,1.3599224571407098,0.00010761918543096443,0.0018714123891569933,0.14060128932221067,,111858
Block 3,Foreign buy flow (×10⁶),0.1781963829649833,4.123655643452878,0.0,0.03045108905525882,0.33301877671779456,84.42221387831,111858
Block 3,Foreign sell flow (×10⁶),0.16315891174280642,1.8787688667688456,0.0,0.03035808029936761,0.3069180725101047,82.98110103881707,111858
