pred_col,series_name,mean_weekly,ann_mean,weekly_vol,ann_vol,sharpe,hit_rate,max_drawdown,n_weeks
pred_fe_b1,top_return,0.00029519800531447633,0.01535029627635277,0.01588003684383563,0.11451257419341339,0.13404900190633998,0.5214007782101168,-0.32794665135499795,514
pred_fe_b1,bottom_return,-0.0022120760602734914,-0.11502795513422155,0.021317143970029248,0.1537201112607769,-0.7482947689198817,0.48249027237354086,-0.6807888803146492,514
pred_fe_b1,exclude_bottom_return,-0.00030313651913115556,-0.01576309899482009,0.013685817127402576,0.09868983079894653,-0.15972363988477273,0.5311284046692607,-0.3092127254583246,514
pred_fe_b1,equal_weight_return,-0.000681456719087346,-0.03543574939254199,0.014386413061208884,0.10374189992438697,-0.34157605960918,0.5077821011673151,-0.3498398058033669,514
pred_fe_b1,long_short_return,0.002507274065587968,0.13037825141057435,0.020123867970585237,0.14511527565722504,0.8984460858451535,0.556420233463035,-0.17899559503329598,514
pred_fe_b1,top_minus_equal_weight,0.0009766547244018221,0.050786045668894754,0.010303679847692312,0.07430089203363924,0.6835186533951935,0.5330739299610895,-0.12808195470709263,514
pred_fe_b1,exclude_bottom_minus_equal_weight,0.00037832019995619014,0.019672650397721887,0.002861050579529957,0.020631329132382442,0.953532866035478,0.5700389105058365,-0.027873223462726915,514
pred_fe_b2,top_return,0.0002068980927002111,0.010758700820410977,0.015496213390595013,0.11174478391064399,0.09627922166831611,0.5350194552529183,-0.34955291708509234,514
pred_fe_b2,bottom_return,-0.002441830218596107,-0.12697517136699754,0.02126017020123064,0.15330926757125726,-0.8282289347444715,0.47470817120622566,-0.7176851439930086,514
pred_fe_b2,exclude_bottom_return,-0.00024612764878030927,-0.012798637736576083,0.01366346571950738,0.09852865250445665,-0.12989762278538391,0.5389105058365758,-0.30613782758291413,514
pred_fe_b2,equal_weight_return,-0.000681456719087346,-0.03543574939254199,0.014386413061208884,0.10374189992438697,-0.34157605960918,0.5077821011673151,-0.3498398058033669,514
pred_fe_b2,long_short_return,0.0026487283112963185,0.13773387218740857,0.019512671683724864,0.1407078765539285,0.9788639808988936,0.5700389105058365,-0.1790768276722394,514
pred_fe_b2,top_minus_equal_weight,0.0008883548117875572,0.04619445021295297,0.009998291886544565,0.07209870812798402,0.6407112056841875,0.5389105058365758,-0.10900654079728822,514
pred_fe_b2,exclude_bottom_minus_equal_weight,0.00043532907030703665,0.022637111655965905,0.002819134213993115,0.020329065921934092,1.1135342736796157,0.5758754863813229,-0.027372555168547936,514
pred_fe_b3,top_return,0.0001984837098950039,0.010321152914540202,0.01557869172257333,0.11233954362076912,0.09187462029738963,0.5369649805447471,-0.3105325096555141,514
pred_fe_b3,bottom_return,-0.002297264536838198,-0.11945775591558629,0.021294537686089344,0.15355709502899084,-0.7779370656434549,0.4688715953307393,-0.6906323752772814,514
pred_fe_b3,exclude_bottom_return,-0.0002824572268216271,-0.01468777579472461,0.013651045085204856,0.09843908603675358,-0.14920674689361427,0.5330739299610895,-0.3141701360019233,514
pred_fe_b3,equal_weight_return,-0.000681456719087346,-0.03543574939254199,0.014386413061208884,0.10374189992438697,-0.34157605960918,0.5077821011673151,-0.3498398058033669,514
pred_fe_b3,long_short_return,0.002495748246733202,0.1297789088301265,0.019436385599262404,0.14015776977566094,0.9259487293344704,0.5700389105058365,-0.1755157202652532,514
pred_fe_b3,top_minus_equal_weight,0.0008799404289823498,0.04575690230708219,0.009854335793112116,0.07106062597541167,0.6439135833522625,0.5291828793774319,-0.11536049567744906,514
pred_fe_b3,exclude_bottom_minus_equal_weight,0.000398999492265719,0.02074797359781739,0.0028214868301195393,0.020346030878084707,1.0197553381365219,0.5622568093385214,-0.027394694570321947,514
pred_rf_b1,top_return,0.0009028026285323034,0.04694573668367978,0.018870972298791568,0.1360805164823071,0.34498499783239406,0.5350194552529183,-0.28819564957944854,514
pred_rf_b1,bottom_return,-0.0030024759191439963,-0.1561287477954878,0.01867211088383744,0.13464650642565024,-1.1595454790481305,0.45136186770428016,-0.7926449127923045,514
pred_rf_b1,exclude_bottom_return,-0.00010950833170142212,-0.00569443324847395,0.014526767497003726,0.10475401015438121,-0.05436005017928936,0.5252918287937743,-0.31701871739181664,514
pred_rf_b1,equal_weight_return,-0.000681456719087346,-0.03543574939254199,0.014386413061208884,0.10374189992438697,-0.34157605960918,0.5077821011673151,-0.3498398058033669,514
pred_rf_b1,long_short_return,0.003905278547676299,0.20307448447916757,0.019150693703952202,0.1380976162206101,1.47051404677947,0.6050583657587548,-0.17665830058784399,514
pred_rf_b1,top_minus_equal_weight,0.0015842593476196492,0.08238148607622175,0.012153032562313383,0.08763676411160881,0.9400334084826059,0.546692607003891,-0.12511513755097384,514
pred_rf_b1,exclude_bottom_minus_equal_weight,0.0005719483873859238,0.029741316144068036,0.0027749834276142604,0.020010690073652058,1.4862713896722746,0.5933852140077821,-0.02511167204094166,514
pred_rf_b2,top_return,0.0008239308292650572,0.042844403121782976,0.019831923509893837,0.14301003421200398,0.29959018860360986,0.5447470817120622,-0.3447525652178069,514
pred_rf_b2,bottom_return,-0.003077476090939053,-0.16002875672883077,0.01837068250911469,0.13247287550376494,-1.2080114976011271,0.4455252918287938,-0.8005951684693959,514
pred_rf_b2,exclude_bottom_return,-9.019988693327256e-05,-0.004690394120530173,0.0147059872246775,0.10604638198978618,-0.04422964774962267,0.5252918287937743,-0.3082662317901317,514
pred_rf_b2,equal_weight_return,-0.000681456719087346,-0.03543574939254199,0.014386413061208884,0.10374189992438697,-0.34157605960918,0.5077821011673151,-0.3498398058033669,514
pred_rf_b2,long_short_return,0.0039014069202041105,0.20287315985061374,0.020396684393508304,0.1470825828605006,1.3793146401503382,0.6011673151750972,-0.2050380062328205,514
pred_rf_b2,top_minus_equal_weight,0.0015053875483524034,0.07828015251432498,0.012330247081822197,0.0889146761853003,0.8803963065803362,0.5778210116731517,-0.13684975048576387,514
pred_rf_b2,exclude_bottom_minus_equal_weight,0.0005912568321540734,0.030745355272011814,0.0028628268136721875,0.020644137738936526,1.4893019830042873,0.6147859922178989,-0.027520047672239457,514
pred_rf_b3,top_return,0.0008280157960450669,0.04305682139434348,0.019324259745481548,0.13934921874543682,0.3089850218177375,0.519455252918288,-0.33056870879242956,514
pred_rf_b3,bottom_return,-0.0029762435015404614,-0.154764662080104,0.018228628311899062,0.13144850811985329,-1.1773786123079562,0.44163424124513617,-0.7902466962706594,514
pred_rf_b3,exclude_bottom_return,-0.00011493845570282427,-0.005976799696546862,0.014679568429582266,0.10585587334908249,-0.05646167290913637,0.5136186770428015,-0.3116630908884807,514
