model,feature,Q1,Q2,Q3,Q4,Q5
RF,f_sell_5d,0.0008105955236416266,-9.35669253089242e-05,-0.00018620460269583948,-0.00018321788877930905,-0.00017718588089649394
RF,f_buy_5d,7.295781022720672e-05,-7.5422395371975045e-06,-6.5279803605586825e-06,-1.0026450091312206e-05,-6.414185091625085e-05
XGB,f_sell_5d,0.0011170560998170556,-0.00026406780152636665,-0.0002899948992320082,-0.0002753999685318282,-0.00023186120909898542
XGB,f_buy_5d,0.0001634356056247731,-2.8824685797801207e-06,8.904415768673474e-06,-4.420421487720099e-06,-0.0003249408889255893
