pred_col,date,regime,top_return,bottom_return,equal_weight_return,exclude_bottom_return,long_short_return,top_minus_equal_weight,exclude_bottom_minus_equal_weight,n_top,n_bottom,n_total
pred_fe_b1,2016-01-04,calm,0.004812621885656918,-0.015288507534822356,-0.005326465232257647,-0.0028947856150961823,0.020101129420479275,0.010139087117914565,0.0024316796171614647,32,31,158
pred_fe_b1,2016-01-11,calm,0.02638186610839144,0.014200130528718801,0.02034483519707062,0.02184354365276618,0.012181735579672637,0.00603703091132082,0.0014987084556955625,31,30,153
pred_fe_b1,2016-01-18,calm,-0.012484446369147155,-0.016823924666511655,-0.000529956465441232,0.0035119581270723604,0.0043394782973645,-0.011954489903705923,0.004041914592513593,33,32,161
pred_fe_b1,2016-01-25,calm,0.00793893839641358,0.00611482435607461,0.004151358110368852,0.0036682830816634686,0.00182411404033897,0.0037875802860447283,-0.00048307502870538347,32,31,157
pred_fe_b1,2016-02-01,calm,0.005818617702194197,-0.013987649602512402,0.0022447173586115448,0.006302809098892532,0.0198062673047066,0.003573900343582652,0.004058091740280987,32,31,155
pred_fe_b1,2016-02-15,calm,0.005437676710284844,0.006137967368206625,0.002491864942978739,0.001595282379398112,-0.0007002906579217814,0.002945811767306105,-0.0008965825635806268,31,30,152
pred_fe_b1,2016-02-22,calm,0.0015674524071275504,0.0016375883514709343,0.0001680004080582555,-0.00019071790883775258,-7.01359443433839e-05,0.0013994519990692949,-0.0003587183168960081,32,31,158
pred_fe_b1,2016-02-29,calm,-0.027304881222786015,-0.003582256272404615,-0.012190671076912206,-0.014308614401830741,-0.0237226249503814,-0.015114210145873809,-0.0021179433249185354,32,31,157
pred_fe_b1,2016-03-07,calm,0.00684568617787909,0.026487310397463264,0.012750954321583371,0.009397985515659936,-0.019641624219584174,-0.005905268143704281,-0.003352968805923435,32,31,158
pred_fe_b1,2016-03-14,calm,0.02281444438949455,-0.0081582236769781,0.001986512678658478,0.004483678550815175,0.03097266806647265,0.02082793171083607,0.002497165872156697,33,32,162
pred_fe_b1,2016-03-21,calm,0.013041825849606711,-0.00615215614269488,0.004657544770767881,0.007275519210747143,0.01919398199230159,0.00838428107883883,0.0026179744399792617,32,31,159
pred_fe_b1,2016-03-28,calm,0.005626664523166915,0.0027686367054033834,0.0015714131501912171,0.0012791774792339158,0.0028580278177635318,0.004055251372975698,-0.0002922356709573013,32,31,158
pred_fe_b1,2016-04-04,calm,-0.0026870103343473754,-0.00766287085338182,-0.0030955449872060075,-0.0019718378296548164,0.004975860519034444,0.00040853465285863207,0.001123707157551191,32,31,157
