regime,model,oos_r2,mae,rmse,n_weeks,n_obs,fe_r2,ml_advantage
calm,RF,-0.001794114239101141,0.03373247065470263,0.04623072988627209,207,36520,-0.017069617488780553,0.015275503249679412
calm,XGB,-0.002198193924814351,0.033749462415338924,0.04624005266784657,207,36520,-0.017069617488780553,0.014871423563966202
stress,RF,-0.000288648148484949,0.040424706567135954,0.05687440068305033,103,20754,-6.236222344568887e-05,-0.00022628592503926015
stress,XGB,-0.0008772248749435718,0.04044707916687626,0.05689113086681325,103,20754,-6.236222344568887e-05,-0.000814862651497883
other,RF,0.0013062755018935501,0.035109050718243204,0.04857485957965546,204,40702,-0.003856958246737374,0.005163233748630924
other,XGB,0.0013238472083431096,0.03510360638094055,0.048574432247978624,204,40702,-0.003856958246737374,0.005180805455080484
