regime,model,oos_r2,mae,rmse,n_weeks,n_obs
calm,FE,-0.017069617488780553,0.03396549990118441,0.046581862885628815,207,36520
calm,RF,-0.001794114239101141,0.03373247065470263,0.04623072988627209,207,36520
calm,XGB,-0.002198193924814351,0.033749462415338924,0.04624005266784657,207,36520
stress,FE,-6.236222344568887e-05,0.04046073756838894,0.05686796723789745,103,20754
stress,RF,-0.000288648148484949,0.040424706567135954,0.05687440068305033,103,20754
stress,XGB,-0.0008772248749435718,0.04044707916687626,0.05689113086681325,103,20754
other,FE,-0.003856958246737374,0.035288050417682175,0.04870026340512325,204,40702
other,RF,0.0013062755018935501,0.035109050718243204,0.04857485957965546,204,40702
other,XGB,0.0013238472083431096,0.03510360638094055,0.048574432247978624,204,40702
