feature,mean_abs_shap
ret_1d_lag,0.0005311575064610924
momentum_1m,0.0004935112306055548
f_sell_5d,0.00034826278466416124
ret_5d_lag,0.00016620797228620286
log_size,0.0001403970639922312
amihud_5d,0.0001259794684536398
volatility_1m,7.8873612868937e-05
f_buy_5d,6.347860832337594e-05
turnover_5d,5.3983625966978055e-05
